geoid,name,B19058001,"B19058001, Error",B19058002,"B19058002, Error",B19058003,"B19058003, Error"
04000US37,North Carolina,4186924,10494,552950,5373,3633974,12047
05000US37001,"Alamance County, NC",68441,675,9602,720,58839,926
05000US37003,"Alexander County, NC",13895,293,1385,281,12510,383
05000US37005,"Alleghany County, NC",5049,242,594,168,4455,282
05000US37007,"Anson County, NC",8314,350,2627,312,5687,368
05000US37009,"Ashe County, NC",11999,521,1675,272,10324,469
05000US37011,"Avery County, NC",6559,344,745,177,5814,366
05000US37013,"Beaufort County, NC",19103,475,2853,384,16250,530
05000US37015,"Bertie County, NC",7024,322,1943,266,5081,377
05000US37017,"Bladen County, NC",11635,406,3274,360,8361,427
05000US37019,"Brunswick County, NC",64436,942,6455,685,57981,957
05000US37021,"Buncombe County, NC",102672,1818,10133,755,92539,1799
05000US37023,"Burke County, NC",35873,506,5824,687,30049,698
05000US37025,"Cabarrus County, NC",80370,1094,8649,797,71721,1286
05000US37027,"Caldwell County, NC",32766,534,4311,544,28455,675
05000US37029,"Camden County, NC",3948,143,445,156,3503,211
05000US37031,"Carteret County, NC",31198,604,3073,404,28125,722
05000US37033,"Caswell County, NC",8677,323,1672,309,7005,424
05000US37035,"Catawba County, NC",65201,580,8441,629,56760,883
05000US37037,"Chatham County, NC",32253,379,2156,436,30097,529
05000US37039,"Cherokee County, NC",13042,396,1450,202,11592,444
05000US37041,"Chowan County, NC",5989,253,1374,267,4615,299
05000US37043,"Clay County, NC",5041,275,597,175,4444,267
05000US37045,"Cleveland County, NC",37218,633,7588,748,29630,764
05000US37047,"Columbus County, NC",19227,415,4362,425,14865,487
05000US37049,"Craven County, NC",41472,606,5675,562,35797,764
05000US37051,"Cumberland County, NC",128118,643,24996,974,103122,1104
05000US37053,"Currituck County, NC",11497,281,671,178,10826,328
05000US37055,"Dare County, NC",16483,769,952,263,15531,771
05000US37057,"Davidson County, NC",68512,656,9553,792,58959,972
05000US37059,"Davie County, NC",16873,393,1826,329,15047,447
05000US37061,"Duplin County, NC",20096,420,3546,526,16550,569
05000US37063,"Durham County, NC",138502,984,14011,956,124491,1351
05000US37065,"Edgecombe County, NC",19533,400,4830,458,14703,463
05000US37067,"Forsyth County, NC",155743,1119,21732,1342,134011,1564
05000US37069,"Franklin County, NC",27442,512,3892,407,23550,566
05000US37071,"Gaston County, NC",92287,692,15242,721,77045,984
05000US37073,"Gates County, NC",4219,176,569,158,3650,218
05000US37075,"Graham County, NC",3312,218,412,128,2900,251
05000US37077,"Granville County, NC",22176,484,2888,414,19288,627
05000US37079,"Greene County, NC",6831,230,1576,243,5255,271
05000US37081,"Guilford County, NC",215807,1189,34074,1405,181733,1673
05000US37083,"Halifax County, NC",20269,496,6048,482,14221,570
05000US37085,"Harnett County, NC",48639,502,7163,643,41476,749
05000US37087,"Haywood County, NC",26772,550,3500,570,23272,722
05000US37089,"Henderson County, NC",50423,624,4919,586,45504,749
05000US37091,"Hertford County, NC",8329,224,2172,252,6157,296
05000US37093,"Hoke County, NC",18763,262,3702,355,15061,428
05000US37095,"Hyde County, NC",2115,280,498,185,1617,256
05000US37097,"Iredell County, NC",73913,648,6117,594,67796,842
05000US37099,"Jackson County, NC",18164,640,2013,369,16151,691
05000US37101,"Johnston County, NC",82293,726,10148,1012,72145,1299
05000US37103,"Jones County, NC",3915,127,860,171,3055,189
05000US37105,"Lee County, NC",24659,389,4036,495,20623,589
05000US37107,"Lenoir County, NC",22930,519,6151,581,16779,668
05000US37109,"Lincoln County, NC",35681,468,3858,573,31823,737
05000US37111,"McDowell County, NC",18445,450,3453,489,14992,548
05000US37113,"Macon County, NC",18090,659,1895,425,16195,627
05000US37115,"Madison County, NC",8399,306,1095,238,7304,333
05000US37117,"Martin County, NC",9361,323,1894,299,7467,335
05000US37119,"Mecklenburg County, NC",455494,1674,41560,1484,413934,2104
05000US37121,"Mitchell County, NC",6411,313,938,200,5473,326
05000US37123,"Montgomery County, NC",10075,441,2111,328,7964,385
05000US37125,"Moore County, NC",42814,661,3700,513,39114,710
05000US37127,"Nash County, NC",38123,595,7516,722,30607,916
05000US37129,"New Hanover County, NC",102376,1001,10084,820,92292,1268
05000US37131,"Northampton County, NC",7597,305,2003,271,5594,309
05000US37133,"Onslow County, NC",72516,972,9592,1193,62924,1418
05000US37135,"Orange County, NC",56456,642,3385,402,53071,746
05000US37137,"Pamlico County, NC",5228,216,497,98,4731,221
05000US37139,"Pasquotank County, NC",15394,361,2731,421,12663,486
05000US37141,"Pender County, NC",24152,477,3080,393,21072,549
05000US37143,"Perquimans County, NC",5580,273,876,193,4704,287
05000US37145,"Person County, NC",16211,384,3428,476,12783,547
05000US37147,"Pitt County, NC",73404,848,11192,878,62212,1068
05000US37149,"Polk County, NC",8727,219,798,181,7929,269
05000US37151,"Randolph County, NC",56970,563,8692,779,48278,880
05000US37153,"Richmond County, NC",16863,435,5054,529,11809,602
05000US37155,"Robeson County, NC",42744,300,13800,478,28944,475
05000US37157,"Rockingham County, NC",39018,637,6898,618,32120,788
05000US37159,"Rowan County, NC",57762,637,9698,814,48064,914
05000US37161,"Rutherford County, NC",26589,473,5298,534,21291,710
05000US37163,"Sampson County, NC",21321,437,4357,399,16964,477
05000US37165,"Scotland County, NC",12376,238,3834,277,8542,334
05000US37167,"Stanly County, NC",24436,447,3871,416,20565,537
05000US37169,"Stokes County, NC",19374,365,2916,476,16458,582
05000US37171,"Surry County, NC",29366,394,5647,552,23719,644
05000US37173,"Swain County, NC",5837,316,879,172,4958,342
05000US37175,"Transylvania County, NC",14590,482,1625,440,12965,603
05000US37177,"Tyrrell County, NC",1426,152,377,142,1049,183
05000US37179,"Union County, NC",82231,626,6977,668,75254,868
05000US37181,"Vance County, NC",16081,399,4079,475,12002,568
05000US37183,"Wake County, NC",445636,1867,30342,1692,415294,2369
05000US37185,"Warren County, NC",7930,297,1866,268,6064,322
05000US37187,"Washington County, NC",4832,263,1660,340,3172,304
05000US37189,"Watauga County, NC",21187,634,1537,312,19650,622
05000US37191,"Wayne County, NC",46888,589,9321,768,37567,909
05000US37193,"Wilkes County, NC",26975,518,4062,512,22913,648
05000US37195,"Wilson County, NC",32860,483,6372,555,26488,653
05000US37197,"Yadkin County, NC",14893,364,1961,300,12932,411
05000US37199,"Yancey County, NC",8188,286,1141,209,7047,289
