geoid,area,population,populationError,snapHousehold,snapHouseholdError,snapHouseholdWithChildren,snapHouseholdWithChildrenError,snapMarriedWithChildren,snapMarriedWithChildrenError,snapOtherFamilyWithChildren,snapOtherFamilyWithChildrenError,snapSingleFather,snapSingleFatherError,snapSingleMother,snapSingleMotherError,snapNonFamily,snapNonFamilyError,snapNoChildren,snapNoChildrenError,snapMarriedNoChildren,snapMarriedNoChildrenError,snapOtherFamilyNoChildren,snapOtherFamilyNoChildrenError,snapSingleMale,snapSingleMaleError,snapSingleFemale,snapSingleFemaleError,snapNonFamilyNoChildren,snapNonFamilyNoChildrenError,nonSnapHousehold,nonSnapHouseholdError,nonSnapHouseholdWithChildren,nonSnapHouseholdWithChildrenError,nonSnapMarriedWithChildren,nonSnapMarriedWithChildrenError,nonSnapOtherFamilyWithChildren,nonSnapOtherFamilyWithChildrenError,nonSnapSingleFather,nonSnapSingleFatherError,nonSnapSingleMother,nonSnapSingleMotherError,nonSnapNonFamily,nonSnapNonFamilyError,nonSnapNoChildren,nonSnapNoChildrenError,nonSnapMarriedNoChildren,nonSnapMarriedNoChildrenError,nonSnapOtherFamilyNoChildren,nonSnapOtherFamilyNoChildrenError,nonSnapSingleMale,nonSnapSingleMaleError,nonSnapSingleFemale,nonSnapSingleFemaleError,nonSnapNonFamilyNoChildren,nonSnapNonFamilyNoChildrenError
06000US3718390164,"Bartons Creek township, Wake County, NC",8220,456,99,53,75,48,24,24,51,45,34,37,17,28,0,25,24,27,0,25,14,21,14,21,0,25,10,16,8121,462,3000,386,2628,341,372,206,65,51,307,215,0,25,5121,314,3844,254,218,118,37,27,181,115,1059,194
06000US3718390420,"Buckhorn township, Wake County, NC",3897,418,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,3897,418,2471,419,2218,425,253,129,48,55,205,118,0,21,1426,277,815,207,169,151,94,142,75,60,442,228
06000US3718390536,"Cary township, Wake County, NC",33175,1063,1302,303,772,242,322,164,450,211,175,170,275,129,0,32,530,175,147,90,45,33,9,15,36,29,338,131,31873,1077,8576,715,6780,452,1752,525,894,515,858,240,44,54,23297,1029,10042,635,1679,315,584,213,1095,221,11576,784
06000US3718390576,"Cedar Fork township, Wake County, NC",24613,1016,587,191,336,171,170,106,150,120,17,27,133,117,16,23,251,107,121,75,17,28,0,32,17,28,113,91,24026,1010,8365,475,7315,458,1029,230,281,120,748,204,21,34,15661,1030,6289,665,1277,340,476,214,801,327,8095,952
06000US3718391524,"Holly Springs township, Wake County, NC",18900,732,488,181,190,84,71,55,119,83,0,32,119,83,0,32,298,152,36,50,121,113,102,110,19,26,141,101,18412,714,8933,428,7542,454,1384,287,571,303,813,201,7,11,9479,724,5498,566,694,218,127,67,567,208,3287,491
06000US3718391548,"House Creek township, Wake County, NC",29547,1052,1640,380,946,297,288,146,658,269,88,81,570,269,0,32,694,222,56,77,32,31,17,27,15,17,606,204,27907,1081,5577,431,4050,427,1527,321,268,111,1259,297,0,32,22330,1121,7260,599,1546,405,529,237,1017,276,13524,1038
06000US3718391772,"Leesville township, Wake County, NC",18007,826,518,194,242,135,36,36,206,130,0,29,206,130,0,29,276,137,0,29,25,28,0,29,25,28,251,133,17489,829,5348,421,4466,396,882,227,263,137,619,191,0,29,12141,773,5249,433,743,245,293,161,450,165,6149,613
06000US3718391868,"Little River township, Wake County, NC",6462,480,506,204,300,172,107,100,193,154,35,60,158,146,0,21,206,89,12,20,142,71,25,41,117,76,52,41,5956,494,1725,375,1035,257,585,235,22,29,563,233,105,160,4231,574,2090,455,598,316,43,42,555,311,1543,392
06000US3718391992,"Marks Creek township, Wake County, NC",10667,688,1068,329,435,222,258,152,156,134,64,93,92,101,21,29,633,220,80,60,225,116,18,34,207,119,328,159,9599,728,3444,408,2668,363,752,269,143,100,609,256,24,41,6155,695,2831,389,1029,347,375,221,654,262,2295,524
06000US3718392036,"Meredith township, Wake County, NC",10376,656,246,135,146,102,86,71,60,72,13,29,47,65,0,21,100,89,0,21,0,21,0,21,0,21,100,89,10130,652,1353,308,984,261,320,178,72,57,248,162,49,61,8777,635,1628,301,296,149,101,92,195,119,6853,610
06000US3718392056,"Middle Creek township, Wake County, NC",22194,985,1539,392,940,298,371,248,540,195,121,96,419,160,29,47,599,222,25,23,207,132,0,32,207,132,367,174,20655,1110,7999,590,6747,545,1252,358,300,154,952,319,0,32,12656,898,7060,682,898,218,238,103,660,201,4698,644
06000US3718392228,"Neuse township, Wake County, NC",34062,1165,3303,624,1834,544,472,245,1305,499,53,57,1252,515,57,86,1469,413,131,128,348,192,34,43,314,189,990,355,30759,1119,9305,656,6575,584,2724,464,680,194,2044,417,6,10,21454,1144,7309,661,1947,387,564,252,1383,292,12198,824
06000US3718392264,"New Light township, Wake County, NC",3917,497,116,86,83,84,73,83,10,19,0,21,10,19,0,21,33,36,0,21,19,29,19,29,0,21,14,22,3801,505,1509,312,1384,289,125,114,105,109,20,26,0,21,2292,450,1578,178,106,100,20,27,86,97,608,437
06000US3718392440,"Panther Branch township, Wake County, NC",10865,728,426,149,230,120,124,77,106,86,0,25,106,86,0,25,196,93,34,28,28,32,0,25,28,32,134,99,10439,723,3459,505,2834,442,625,226,245,179,380,135,0,25,6980,692,4284,647,674,318,136,87,538,312,2022,463
06000US3718392612,"Raleigh township, Wake County, NC",53607,1320,4907,591,2516,459,228,121,2288,445,177,120,2111,411,0,32,2391,386,198,77,374,155,75,85,299,118,1819,343,48700,1440,9043,718,6425,596,2549,503,714,222,1835,438,69,59,39657,1382,10359,768,1710,338,497,162,1213,293,27588,1090
06000US3718392788,"St. Marys township, Wake County, NC",26413,1147,2998,574,1610,364,429,210,1167,329,121,97,1046,350,14,24,1388,406,277,170,203,107,20,35,183,104,908,377,23415,1217,7078,805,4615,562,2399,663,795,539,1604,402,64,76,16337,1041,6275,729,1983,394,510,211,1473,406,8079,1203
06000US3718392792,"St. Matthews township, Wake County, NC",30993,1177,3409,738,2281,662,954,349,1271,521,112,99,1159,514,56,107,1128,300,150,83,428,206,134,99,294,177,550,229,27584,1310,8422,716,5324,503,3001,584,892,345,2109,490,97,105,19162,1276,7340,721,2511,464,850,335,1661,399,9311,961
06000US3718393200,"Swift Creek township, Wake County, NC",22119,1000,1051,356,360,164,71,56,279,143,14,22,265,144,10,17,691,327,93,68,94,82,13,19,81,78,504,292,21068,1029,4852,582,4122,571,694,197,239,141,455,159,36,33,16216,866,6342,445,1070,434,353,272,717,316,8804,734
06000US3718393880,"Wake Forest township, Wake County, NC",36698,1357,2133,593,921,262,169,91,752,251,64,68,688,233,0,32,1212,547,154,112,449,443,49,43,400,438,609,311,34565,1399,12587,749,10331,679,2187,426,642,220,1545,339,69,84,21978,1413,10975,954,1990,453,403,238,1587,367,9013,1032
06000US3718393984,"White Oak township, Wake County, NC",40904,1033,857,223,467,192,247,129,192,108,17,22,175,110,28,46,390,143,93,72,123,85,0,32,123,85,174,114,40047,1063,18754,895,15670,842,3054,574,1057,349,1997,398,30,41,21293,940,10562,670,1332,285,241,116,1091,263,9399,710
